State,Red,Orange,Green
Andaman and Nicobar,1,0,2
Andhra Pradesh,5,7,1
Arunachal Pradesh,0,0,25
Assam,0,3,30
Bihar,5,20,13
Chandigarh,1,0,0
Chhattisgarh,1,1,25
Dadra and Nagar Haveli,0,0,1
Daman and Diu,0,0,2
Delhi,11,0,0
Goa,0,0,2
Gujarat,9,19,5
Haryana,2,18,2
Himachal Pradesh,0,6,6
Jammu and Kashmir,4,12,4
Jharkhand,1,9,14
Karnataka,3,13,14
Kerala,2,10,2
Ladakh,0,2,0
Lakshadweep,0,0,1
Madhya Pradesh,9,19,24
Maharastra,14,16,6
Manipur,0,0,16
Meghalaya,0,1,10
Mizoram,0,0,11
Nagaland,0,0,11
Odisha,3,6,
Puducherry,0,,
Punjab,3,,
Rajasthan,8,,
Sikkim,0,,
Tamil Nadu,12,,
Telangana,6,,
Tripura,0,,
Uttar Pradesh,19,,
Uttarakhand,,,
West Bengal,,,
