State,Confirmed,Active,Recovered,Deceased
Andaman and Nicobar,33,0,33,0
Andhra Pradesh,2205,965,1192,48
Arunachal Pradesh,1,0,1,0
Assam,87,46,39,2
Bihar,994,576,411,7
Chandigarh,191,151,37,3
Chhattisgarh,60,4,56,0
Dadra and Nagar Haveli,1,1,0,0
Daman and Diu,0,0,0,0
Delhi,8470,5310,3045,115
Goa,14,7,7,0
Gujarat,9591,5252,3753,586
Haryana,818,368,439,11
Himachal Pradesh,74,33,39,2
Jammu and Kashmir,983,487,485,11
Jharkhand,197,107,87,3
Karnataka,987,492,460,35
Kerala,560,65,491,4
Ladakh,43,21,22,0
Lakshadweep,0,0,0,0
Madhya Pradesh,4426,2018,2171,237
Maharastra,27524,20446,6059,1019
Manipur,3,1,2,0
Meghalaya,13,1,11,1
Mizoram,1,0,1,0
Nagaland,0,0,0,0
Odisha,611,450,158,3
Puducherry,13,3,9,1
Punjab,1935,1680,223,32
Rajasthan,4534,1829,2580,125
Sikkim,0,0,0,0
Tamil Nadu,9674,7368,2240,66
Telangana,1414,430,950,34
Tripura,156,127,29,0
Uttar Pradesh,3902,1742,2072,88
Uttarakhand,78,27,50,1
West Bengal,2377,1394,768,215
